Dataset,Method,Dice,Coverage,Expected Risk,Risk Std,Worst 10%,CVaR_0.9,Worst Group
Kvasir-SEG-ID,Plain Segmentation,0.8441557758732846,1.0,0.1638247316920509,0.1764745410380854,0.36948154866695393,0.6033689220746358,0.21539314328787887
Kvasir-SEG-ID,Entropy Threshold,0.8441557758732846,0.8880043538411458,0.057445569444292535,0.11171536466128561,0.17987550944089883,0.34766782621542613,0.08864336380882341
Kvasir-SEG-ID,Max-Softmax Threshold,0.8441557758732846,0.8863835652669271,0.056806235666930056,0.11097547019498787,0.17440284937620154,0.34503723680973053,0.08760030433768407
Kvasir-SEG-ID,Standard CRC (Bates et al.),0.8441557758732846,0.0,0.0,0.0,0.0,0.0,0.0
Kvasir-SEG-ID,Spatial-weighted CP,0.8441557758732846,0.8999959309895833,0.05926090178720187,0.11754857462946539,0.18234152197837813,0.36829532583554586,0.09654360770649391
Kvasir-SEG-ID,LS-CRC (Ours),0.8441557758732846,0.9199107869466145,0.05918370142161924,0.1309944825031742,0.22060789167881,0.40876896182696026,0.11705729118292933
CVC-ClinicDB-ID,Plain Segmentation,0.8926352262496948,1.0,0.13261255486963355,0.16239079968297612,0.24096723198890707,0.5180248200893403,0.16242653978141872
CVC-ClinicDB-ID,Entropy Threshold,0.8926352262496948,0.8236899862484056,0.0044310304831608905,0.010081899425032076,0.014668955467641355,0.027845029719173908,0.007283910050649534
CVC-ClinicDB-ID,Max-Softmax Threshold,0.8926352262496948,0.6847341109295281,0.0007660141837193954,0.002217528752370681,0.0023403969127684843,0.005729141645133495,0.0012050121218808705
CVC-ClinicDB-ID,Standard CRC (Bates et al.),0.8926352262496948,0.0,0.0,0.0,0.0,0.0,0.0
CVC-ClinicDB-ID,Spatial-weighted CP,0.8926352262496948,0.7428025226203763,0.0007006355219197517,0.002110202164799084,0.002159598935395481,0.0058304887730628255,0.001065019267396285
CVC-ClinicDB-ID,LS-CRC (Ours),0.8926352262496948,0.7610317930883291,0.0008562498860184712,0.003452317290913583,5.6375080021099056e-05,0.008391248882981017,0.0015933644650171378
Cross-Kvasir-cal-CVC-test,Plain Segmentation,0.8926352262496948,1.0,0.13261255486963355,0.16239079968297612,0.24096723198890707,0.5180248200893403,0.16242653978141872
Cross-Kvasir-cal-CVC-test,Entropy Threshold,0.8926352262496948,0.9097084512515944,0.02914105002187449,0.11730917628109291,0.041388700157403945,0.21458607241511346,0.08618782007728111
Cross-Kvasir-cal-CVC-test,Max-Softmax Threshold,0.8926352262496948,0.9084497568558674,0.027845192286934304,0.11041066456194507,0.04094062820076943,0.20362635031342508,0.08138874126598239
Cross-Kvasir-cal-CVC-test,Standard CRC (Bates et al.),0.8926352262496948,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,Spatial-weighted CP,0.8926352262496948,0.916868560168208,0.029484499727877103,0.12665218733548733,0.040966401994228366,0.2353261776268482,0.08700680554929105
Cross-Kvasir-cal-CVC-test,LS-CRC (Ours),0.8926352262496948,0.9313924361248406,0.03244037389142287,0.1428311420361796,0.03117311820387845,0.27897115275263784,0.09090909090909091
Cross-CVC-cal-Kvasir-test,Plain Segmentation,0.8441557758732846,1.0,0.1638247316920509,0.1764745410380854,0.36948154866695393,0.6033689220746358,0.21539314328787887
Cross-CVC-cal-Kvasir-test,Entropy Threshold,0.8441557758732846,0.7940069580078125,0.029240104336640798,0.07703844032240102,0.0871558398008346,0.21370855470498404,0.04724075052440547
Cross-CVC-cal-Kvasir-test,Max-Softmax Threshold,0.8441557758732846,0.6713715616861979,0.015109787643838597,0.05014093659565013,0.032252962142229044,0.12383074661095937,0.023226418813768152
Cross-CVC-cal-Kvasir-test,Standard CRC (Bates et al.),0.8441557758732846,0.0,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Spatial-weighted CP,0.8441557758732846,0.7179533894856771,0.018081679534807337,0.061514632911228405,0.03664058074355125,0.1533279870947202,0.029947052787269505
Cross-CVC-cal-Kvasir-test,LS-CRC (Ours),0.8441557758732846,0.7059360758463542,0.023082427794191365,0.07878669901162315,0.05824023149907581,0.21251225074132282,0.05166901859611615
