Dataset,Method,Dice,Coverage,Expected Risk,Risk Std,Worst 10%,CVaR_0.9,Worst Group
Kvasir-SEG-ID,Plain Segmentation,0.8192729448017321,1.0,0.11786617111259451,0.18442147797527203,0.3741693943738937,0.5933947483698527,0.1930321056813914
Kvasir-SEG-ID,Entropy Threshold,0.8192729448017321,0.947192891438802,0.07102815411305831,0.1350264789502923,0.28584882318973537,0.4289951741695404,0.12138771611783768
Kvasir-SEG-ID,Max-Softmax Threshold,0.8192729448017321,0.9477297973632812,0.07142771495176324,0.1355540751928357,0.2862744092941284,0.43076325456301373,0.1220436060470909
Kvasir-SEG-ID,LS-CRC (Ours),0.8192729448017321,0.8046223958333333,0.028401231465638072,0.07835427144765775,0.061089646071195436,0.2209073632955551,0.04381241117397974
CVC-ClinicDB-ID,Plain Segmentation,0.8699605720383781,1.0,0.10968266933567214,0.1787413383094454,0.26496693491935763,0.5572176516056061,0.15810162932253802
CVC-ClinicDB-ID,Entropy Threshold,0.8699605720383781,0.9250046087771046,0.02724334105020104,0.10080409700534725,0.05657307654619218,0.2154761180281639,0.06922837990251454
CVC-ClinicDB-ID,Max-Softmax Threshold,0.8699605720383781,0.9208050163424745,0.024582098366464585,0.09321236172217719,0.05048363953828813,0.19871694445610047,0.06352124257351864
CVC-ClinicDB-ID,LS-CRC (Ours),0.8699605720383781,0.8776892837213011,0.012662937119246783,0.030076777280146356,0.04464223757386211,0.08612030819058418,0.02352001723325388
Cross-Kvasir-cal-CVC-test,Plain Segmentation,0.8699605720383781,1.0,0.10968266933567214,0.1787413383094454,0.26496693491935763,0.5572176516056061,0.15810162932253802
Cross-Kvasir-cal-CVC-test,Entropy Threshold,0.8699605720383781,0.9701145717075893,0.06791130864246729,0.15876356519156914,0.15468100309371963,0.4331640273332596,0.10322389016139576
Cross-Kvasir-cal-CVC-test,Max-Softmax Threshold,0.8699605720383781,0.970430023816167,0.06821520046725375,0.1589471120315035,0.1550825864076616,0.4343333154916763,0.10322389016139576
Cross-Kvasir-cal-CVC-test,LS-CRC (Ours),0.8699605720383781,0.8776892837213011,0.012662937119246783,0.030076777280146356,0.04464223757386211,0.08612030819058418,0.02352001723325388
Cross-CVC-cal-Kvasir-test,Plain Segmentation,0.8192729448017321,1.0,0.11786617111259451,0.18442147797527203,0.3741693943738937,0.5933947483698527,0.1930321056813914
Cross-CVC-cal-Kvasir-test,Entropy Threshold,0.8192729448017321,0.8687167358398438,0.03436847807141021,0.0864425723233637,0.11450620964169501,0.25373367021481197,0.059893800621039744
Cross-CVC-cal-Kvasir-test,Max-Softmax Threshold,0.8192729448017321,0.8614016723632812,0.03260456130189899,0.0844935545679697,0.10082071274518963,0.24639090051253637,0.05677000346756303
Cross-CVC-cal-Kvasir-test,LS-CRC (Ours),0.8192729448017321,0.8046223958333333,0.028401231465638072,0.07835427144765775,0.061089646071195436,0.2209073632955551,0.04381241117397974
